Date, Open, High, Low, Close, Volume
11/01/23, 204.04, 205.99, 197.85, 205.66, 121661695
10/31/23, 196.12, 202.80, 194.07, 200.84, 118068305
10/30/23, 209.28, 210.88, 194.67, 197.36, 136448188
10/27/23, 210.60, 212.41, 205.77, 207.30, 94881172
10/26/23, 211.32, 214.80, 204.88, 205.76, 115112602
10/25/23, 215.88, 220.10, 212.20, 212.42, 107065102
10/24/23, 216.50, 222.05, 214.11, 216.52, 118231102
10/23/23, 210.00, 216.98, 202.51, 212.08, 150683391
10/20/23, 217.01, 218.8606, 210.42, 211.99, 138010094
10/19/23, 225.95, 230.61, 216.78, 220.11, 170772703
10/18/23, 252.70, 254.63, 242.08, 242.68, 125147797
10/17/23, 250.10, 257.183, 247.08, 254.85, 93562914
10/16/23, 250.05, 255.3999, 248.48, 253.92, 88917188
10/13/23, 258.90, 259.60, 250.22, 251.12, 102296797
10/12/23, 262.92, 265.41, 256.6307, 258.87, 111508094
10/11/23, 266.20, 268.60, 260.90, 262.99, 103706305
10/10/23, 257.75, 268.94, 257.65, 263.62, 122656000
10/09/23, 255.31, 261.36, 252.05, 259.67, 101377906
10/06/23, 253.98, 261.65, 250.65, 260.53, 118121797
10/05/23, 260.00, 263.60, 256.25, 260.05, 119159203
10/04/23, 248.14, 261.86, 247.60, 261.16, 129721602
10/03/23, 248.61, 250.02, 244.45, 246.53, 101985297
10/02/23, 244.81, 254.2799, 242.62, 251.60, 123810398
09/29/23, 250.00, 254.77, 246.35, 250.22, 128522703
09/28/23, 240.02, 247.55, 238.65, 246.38, 117058898
09/27/23, 244.262, 245.33, 234.58, 240.50, 136597203
09/26/23, 242.98, 249.55, 241.6601, 244.12, 101993602
09/25/23, 243.38, 247.10, 238.31, 246.99, 104636602
09/22/23, 257.40, 257.7888, 244.48, 244.88, 127524094
09/21/23, 257.85, 260.86, 254.21, 255.70, 119951508
09/20/23, 267.04, 273.93, 262.4606, 262.59, 122514602
09/19/23, 264.35, 267.85, 261.20, 266.50, 103704000
09/18/23, 271.16, 271.44, 263.7601, 265.28, 101543297
09/15/23, 277.55, 278.98, 271.00, 274.39, 133692297
09/14/23, 271.32, 276.7094, 270.42, 276.04, 107709797
09/13/23, 270.07, 274.98, 268.10, 271.30, 111673695
09/12/23, 270.76, 278.39, 266.60, 267.48, 135999906
09/11/23, 264.27, 274.85, 260.61, 273.58, 174667906
09/08/23, 251.22, 256.52, 246.67, 248.50, 118559602
09/07/23, 245.07, 252.81, 243.265, 251.49, 115312898
09/06/23, 255.135, 255.39, 245.06, 251.92, 116959797
09/05/23, 245.00, 258.00, 244.86, 256.49, 129469602
09/01/23, 257.26, 259.0794, 242.01, 245.01, 132541594
08/31/23, 255.98, 261.18, 255.05, 258.08, 108861695
08/30/23, 254.20, 260.51, 250.59, 256.90, 121988398
08/29/23, 238.58, 257.48, 237.77, 257.18, 134047594
08/28/23, 242.58, 244.38, 235.35, 238.82, 107673695
08/25/23, 231.31, 239.00, 230.35, 238.59, 106612203
08/24/23, 238.66, 238.92, 228.1801, 230.04, 99777430
08/23/23, 229.34, 238.98, 229.29, 236.86, 101077602
08/22/23, 240.25, 240.82, 229.55, 233.19, 130597906
08/21/23, 221.5512, 232.1343, 220.58, 231.28, 135702703
